Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,Multiple_deliveries,Festival,City_type,Time_taken(min),distance_km,is_weekend,month_intervals,year_quarter,order_prepare_time
30.0,4.8,conditions Fog,Low ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,44,7.959,False,middle_month,1,15.0
37.0,4.3,conditions Cloudy,Jam ,2,Buffet ,scooter ,0.0,No ,Metropolitian ,40,17.298,True,middle_month,1,15.0
24.0,5.0,conditions Cloudy,Low ,0,Meal ,motorcycle ,1.0,No ,Metropolitian ,24,12.474,False,start_month,1,5.0
23.0,4.7,conditions Stormy,Jam ,0,Snack ,motorcycle ,1.0,No ,Urban ,26,10.04,False,end_month,1,15.0
26.0,4.8,conditions Sunny,Low ,0,Meal ,motorcycle ,0.0,No ,Metropolitian ,17,3.462,True,middle_month,1,15.0
22.0,4.7,conditions Cloudy,Low ,0,Snack ,motorcycle ,1.0,No ,Metropolitian ,17,1.137,False,start_month,1,5.0
33.0,5.0,conditions Sunny,Jam ,2,Buffet ,scooter ,0.0,No ,Urban ,17,10.304,False,start_month,1,15.0
39.0,4.3,conditions Sandstorms,Jam ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,39,7.965,True,middle_month,1,5.0
38.0,5.0,conditions Cloudy,Jam ,2,Meal ,motorcycle ,1.0,No ,Metropolitian ,29,6.694,True,end_month,1,10.0
33.0,4.3,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,1.0,No ,Urban ,20,2.294,False,middle_month,1,15.0
29.0,4.5,conditions Fog,Medium ,1,Drinks ,scooter ,1.0,No ,Urban ,14,5.69,False,middle_month,1,5.0
39.0,4.3,conditions Windy,Jam ,2,Meal ,electric_scooter ,1.0,No ,Metropolitian ,32,4.718,False,start_month,2,5.0
30.0,4.0,conditions Cloudy,Low ,0,Snack ,motorcycle ,1.0,Yes ,Metropolitian ,43,14.88,True,middle_month,1,15.0
25.0,5.0,conditions Sunny,Jam ,2,Buffet ,electric_scooter ,1.0,No,Metropolitian ,12,10.209,False,start_month,1,15.0
35.0,4.2,conditions Stormy,High ,0,Meal ,motorcycle ,0.0,No ,Metropolitian ,39,4.588,True,middle_month,1,10.0
39.0,4.2,conditions Stormy,Low ,0,Snack ,motorcycle ,1.0,No ,Metropolitian ,34,5.706,True,middle_month,1,10.0
20.0,4.5,conditions Sandstorms,Jam ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,29,5.798,False,start_month,1,5.0
23.0,4.9,conditions Fog,Low ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,22,14.461,False,middle_month,1,15.0
37.0,4.7,conditions Sunny,Jam ,2,Meal ,electric_scooter ,1.0,No ,Metropolitian ,24,8.014,False,middle_month,1,5.0
23.0,4.8,conditions Sunny,Low ,0,Buffet ,motorcycle ,0.0,No ,Metropolitian ,19,1.155,False,middle_month,1,10.0
38.0,4.7,conditions Cloudy,Low ,0,Snack ,motorcycle ,0.0,No ,Metropolitian ,43,20.443,False,end_month,1,5.0
27.0,4.3,conditions Sunny,High ,0,Buffet ,motorcycle ,1.0,Yes ,Metropolitian ,45,4.51,False,middle_month,1,5.0
35.0,4.2,conditions Stormy,Low ,0,Buffet ,motorcycle ,0.0,No ,Urban ,22,2.308,False,start_month,1,10.0
39.0,4.6,conditions Sunny,Jam ,0,Meal ,motorcycle ,0.0,No ,Metropolitian ,25,9.435,True,start_month,1,15.0
21.0,4.7,conditions Cloudy,Low ,1,Buffet ,scooter ,1.0,No ,Metropolitian ,22,7.894,True,middle_month,1,10.0
29.0,4.8,conditions Cloudy,Jam ,1,Drinks ,scooter ,1.0,No ,Metropolitian ,29,6.945,False,middle_month,1,10.0
32.0,4.9,conditions Cloudy,Jam ,0,Buffet ,motorcycle ,2.0,No ,Metropolitian ,45,10.271,True,start_month,1,15.0
30.0,4.9,conditions Sandstorms,High ,1,Snack ,scooter ,1.0,No ,Metropolitian ,29,2.289,True,middle_month,1,15.0
34.0,4.0,conditions Sandstorms,Medium ,0,Meal ,motorcycle ,0.0,No ,Metropolitian ,42,14.816,False,middle_month,1,15.0
36.0,4.7,conditions Sandstorms,Jam ,2,Snack ,motorcycle ,1.0,No ,Metropolitian ,34,5.796,True,start_month,2,10.0
22.0,4.7,conditions Fog,Jam ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,35,12.689,False,start_month,1,15.0
29.0,4.9,conditions Cloudy,Jam ,2,Meal ,scooter ,1.0,No ,Metropolitian ,31,3.433,False,end_month,1,5.0
38.0,4.8,conditions Sandstorms,Medium ,2,Snack ,motorcycle ,1.0,No ,Metropolitian ,26,9.235,True,middle_month,1,5.0
20.0,4.6,conditions Sunny,Medium ,2,Snack ,electric_scooter ,1.0,No ,Metropolitian ,17,11.008,False,middle_month,1,5.0
38.0,4.0,conditions Sandstorms,Jam ,2,Meal ,motorcycle ,0.0,No ,Metropolitian ,31,3.347,False,end_month,1,10.0
22.0,4.9,conditions Sunny,Low ,1,Snack ,motorcycle ,1.0,No ,Metropolitian ,24,5.722,True,start_month,1,5.0
30.0,4.6,conditions Sunny,Jam ,1,Meal ,motorcycle ,0.0,No ,Metropolitian ,15,5.706,False,start_month,2,5.0
26.0,5.0,conditions Stormy,Medium ,1,Drinks ,motorcycle ,1.0,No ,Metropolitian ,27,10.257,True,middle_month,1,15.0
31.0,4.8,conditions Sandstorms,Medium ,0,Snack ,motorcycle ,0.0,No ,Metropolitian ,44,10.149,False,start_month,1,10.0
26.0,4.5,conditions Windy,High ,2,Drinks ,scooter ,1.0,No ,Metropolitian ,18,4.579,False,start_month,2,5.0
26.0,4.4,conditions Stormy,High ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,34,4.462,False,start_month,1,15.0
36.0,4.5,conditions Stormy,Low ,2,Meal ,electric_scooter ,1.0,No ,Metropolitian ,21,6.823,True,end_month,1,10.0
26.0,4.8,conditions Sunny,Medium ,1,Drinks ,scooter ,1.0,No ,Metropolitian ,11,15.006,True,middle_month,1,10.0
25.0,4.6,conditions Sandstorms,Jam ,1,Meal ,motorcycle ,0.0,No ,Metropolitian ,20,6.869,False,start_month,1,10.0
20.0,4.6,conditions Stormy,Jam ,2,Meal ,scooter ,0.0,No ,Metropolitian ,15,10.04,True,middle_month,1,5.0
27.0,4.6,conditions Cloudy,Medium ,2,Meal ,scooter ,0.0,No ,Metropolitian ,29,8.117,True,middle_month,1,15.0
25.0,4.7,conditions Cloudy,Low ,0,Drinks ,motorcycle ,0.0,No ,Metropolitian ,24,7.809,False,start_month,1,10.0
25.0,5.0,conditions Sunny,Medium ,2,Buffet ,scooter ,1.0,No ,Metropolitian ,18,9.073,False,start_month,1,10.0
22.0,4.8,conditions Fog,Jam ,1,Drinks ,scooter ,0.0,No ,Metropolitian ,30,8.015,True,middle_month,1,5.0
22.0,4.9,conditions Sunny,Medium ,0,Meal ,motorcycle ,0.0,No ,Urban ,25,12.58,False,end_month,1,15.0
31.0,4.2,conditions Sandstorms,Jam ,0,Meal ,motorcycle ,1.0,No ,Metropolitian ,41,9.021,False,start_month,1,5.0
36.0,4.0,conditions Sandstorms,Jam ,2,Buffet ,scooter ,1.0,No ,Metropolitian ,33,6.693,True,middle_month,1,15.0
34.0,4.5,conditions Sandstorms,Low ,0,Buffet ,motorcycle ,0.0,No ,Metropolitian ,22,11.008,True,middle_month,1,5.0
33.0,5.0,conditions Stormy,Low ,1,Snack ,scooter ,0.0,No ,Urban ,29,5.772,False,middle_month,1,15.0
37.0,4.9,conditions Sandstorms,Jam ,2,Meal ,scooter ,1.0,No ,Metropolitian ,27,11.008,False,end_month,1,15.0
20.0,4.8,conditions Stormy,Jam ,0,Meal ,motorcycle ,0.0,No ,Metropolitian ,26,7.894,True,middle_month,1,5.0
29.585221590422037,4.7,conditions Fog,Low,3,Snack ,scooter ,0.0,No ,Metropolitian ,19,16.027,False,start_month,2,10.0
20.0,4.6,conditions Windy,Jam ,1,Snack ,motorcycle ,1.0,No ,Metropolitian ,26,16.024,False,start_month,2,5.0
20.0,5.0,conditions Fog,Medium ,0,Buffet ,motorcycle ,0.0,No ,Metropolitian ,26,3.424,False,start_month,1,15.0
24.0,4.8,conditions Cloudy,High ,0,Meal ,motorcycle ,1.0,No ,Urban ,28,1.159,False,end_month,1,15.0
20.0,4.7,conditions Cloudy,Medium ,2,Drinks ,electric_scooter ,0.0,No ,Urban ,18,4.617,False,start_month,2,15.0
26.0,4.2,conditions Stormy,Low ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,23,1.14,False,middle_month,1,10.0
34.0,4.9,conditions Cloudy,Low ,2,Drinks ,scooter ,1.0,No ,Metropolitian ,18,1.136,True,middle_month,1,10.0
28.0,5.0,conditions Cloudy,Jam ,2,Meal ,motorcycle ,2.0,No ,Metropolitian ,40,7.961,False,start_month,1,15.0
31.0,5.0,conditions Sunny,Low ,2,Buffet ,electric_scooter ,0.0,No ,Metropolitian ,18,2.319,True,start_month,2,5.0
31.0,4.5,conditions Cloudy,Low ,2,Drinks ,scooter ,1.0,No ,Urban ,35,15.005,False,start_month,1,10.0
36.0,4.2,conditions Cloudy,Jam ,2,Buffet ,scooter ,0.0,No ,Metropolitian ,35,6.847,False,start_month,2,5.0
29.585221590422037,4.7,conditions Cloudy,High ,0,Drinks ,motorcycle ,0.0,No ,Metropolitian ,21,1.159,False,end_month,1,5.0
34.0,3.6,conditions Stormy,Jam ,1,Snack ,motorcycle ,1.0,Yes ,Urban ,41,12.731,False,end_month,1,5.0
34.0,4.8,conditions Stormy,Low ,1,Buffet ,motorcycle ,1.0,No ,Urban ,22,3.434,False,end_month,1,15.0
20.0,4.3,conditions Windy,Low ,0,Drinks ,motorcycle ,0.0,No ,Metropolitian ,15,3.478,False,start_month,1,5.0
39.0,4.6,conditions Cloudy,Jam ,2,Buffet ,electric_scooter ,1.0,No ,Urban ,42,9.158,False,end_month,1,5.0
24.0,4.8,conditions Cloudy,Low ,2,Buffet ,electric_scooter ,0.0,No ,Metropolitian ,15,5.686,False,start_month,1,15.0
32.0,4.8,conditions Cloudy,Jam ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,26,7.863,True,start_month,1,10.0
28.0,4.7,conditions Cloudy,Low ,2,Buffet ,scooter ,1.0,No ,Metropolitian ,18,1.145,False,middle_month,1,10.0
30.0,5.0,conditions Sunny,Low ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,20,6.839,False,middle_month,1,5.0
36.0,4.1,conditions Stormy,Jam ,0,Drinks ,motorcycle ,3.0,No ,Metropolitian ,48,16.027,False,end_month,1,5.0
34.0,4.6,conditions Cloudy,Low ,1,Buffet ,motorcycle ,0.0,No ,Metropolitian ,19,2.274,True,start_month,2,15.0
29.0,4.1,conditions Cloudy,Medium ,2,Buffet ,scooter ,1.0,No ,Metropolitian ,38,12.588,True,middle_month,1,10.0
39.0,4.9,conditions Windy,Jam ,1,Snack ,motorcycle ,1.0,No ,Metropolitian ,30,6.956,False,middle_month,1,10.0
21.0,4.8,conditions Fog,Low ,0,Meal ,motorcycle ,1.0,No ,Metropolitian ,15,2.283,False,end_month,1,15.0
31.0,4.9,conditions Cloudy,Low ,2,Drinks ,scooter ,1.0,No ,Urban ,16,5.677,False,middle_month,1,10.0
30.0,4.5,conditions Sunny,Jam ,1,Snack ,scooter ,1.0,No ,Metropolitian ,23,5.724,False,start_month,1,10.0
30.0,4.1,conditions Fog,Jam ,1,Buffet ,motorcycle ,1.0,No ,Metropolitian ,48,12.401,True,middle_month,1,10.0
36.0,4.9,conditions Stormy,Low ,1,Buffet ,scooter ,1.0,No ,Metropolitian ,21,1.159,False,end_month,1,5.0
33.0,4.9,conditions Windy,Medium ,0,Meal ,motorcycle ,1.0,No ,Urban ,26,4.549,False,start_month,1,5.0
24.0,4.5,conditions Sandstorms,Medium ,0,Meal ,motorcycle ,1.0,No ,Metropolitian ,21,6.866,False,start_month,2,10.0
38.0,4.8,conditions Stormy,Medium ,1,Meal ,motorcycle ,0.0,No ,Metropolitian ,34,4.45,False,middle_month,1,5.0
28.0,4.6,conditions Fog,Jam ,2,Meal ,scooter ,1.0,No ,Metropolitian ,32,5.67,False,start_month,1,15.0
31.0,4.6,conditions Sunny,Jam ,2,Snack ,scooter ,0.0,No ,Urban ,15,10.321,False,middle_month,1,15.0
33.0,4.8,conditions Sunny,Jam ,0,Drinks ,motorcycle ,1.0,No ,Urban ,31,14.881,False,middle_month,1,15.0
30.0,4.9,conditions Sunny,Jam ,2,Drinks ,electric_scooter ,1.0,No ,Urban ,19,12.587,True,start_month,1,15.0
30.0,4.1,conditions Fog,Low ,2,Meal ,motorcycle ,2.0,No ,Metropolitian ,39,10.434,True,start_month,2,5.0
22.0,4.8,conditions Sunny,Medium ,0,Buffet ,motorcycle ,1.0,No ,Urban ,18,4.565,False,end_month,1,5.0
35.0,4.6,conditions Sandstorms,Medium ,2,Snack ,motorcycle ,1.0,No ,Metropolitian ,25,5.685,False,start_month,2,5.0
21.0,5.0,conditions Fog,Medium ,1,Drinks ,motorcycle ,1.0,No ,Urban ,27,10.257,False,end_month,1,10.0
24.0,5.0,conditions Fog,Jam ,2,Drinks ,motorcycle ,2.0,No ,Metropolitian ,35,7.894,False,end_month,1,15.0
23.0,5.0,conditions Fog,Low ,2,Drinks ,scooter ,0.0,No ,Metropolitian ,14,2.231,False,middle_month,1,15.0
36.0,4.9,conditions Cloudy,High ,2,Drinks ,scooter ,0.0,No ,Urban ,27,4.536,False,end_month,1,5.0
36.0,4.3,conditions Cloudy,High ,0,Meal ,motorcycle ,0.0,No ,Metropolitian ,31,1.134,False,start_month,1,10.0
20.0,4.5,conditions Cloudy,Low ,1,Snack ,motorcycle ,0.0,No ,Urban ,12,5.699,False,start_month,2,10.0
34.0,4.8,conditions Sunny,Jam ,0,Meal ,motorcycle ,1.0,No ,Metropolitian ,20,5.686,True,middle_month,1,15.0
25.0,4.8,conditions Sandstorms,Low ,1,Buffet ,motorcycle ,0.0,No ,Metropolitian ,16,2.271,False,middle_month,1,15.0
37.0,3.8,conditions Stormy,Jam ,1,Drinks ,motorcycle ,1.0,No ,Metropolitian ,32,14.813,False,start_month,2,15.0
38.0,4.1,conditions Cloudy,Low ,1,Drinks ,scooter ,1.0,No ,Metropolitian ,31,9.158,True,middle_month,1,10.0
38.0,4.5,conditions Windy,Low ,1,Snack ,scooter ,1.0,No ,Metropolitian ,25,1.128,False,start_month,1,15.0
31.0,4.1,conditions Windy,Jam ,0,Snack ,motorcycle ,2.0,No ,Metropolitian ,42,20.443,False,middle_month,1,5.0
22.0,4.8,conditions Sandstorms,Jam ,0,Meal ,motorcycle ,1.0,No ,Metropolitian ,26,6.674,True,middle_month,1,15.0
23.0,4.9,conditions Windy,Jam ,2,Meal ,scooter ,1.0,No ,Metropolitian ,19,8.114,True,start_month,2,15.0
39.0,4.5,conditions Fog,Low ,2,Buffet ,scooter ,1.0,No ,Urban ,17,2.268,True,start_month,1,15.0
25.0,4.6,conditions Sandstorms,Jam ,2,Buffet ,motorcycle ,1.0,No ,Metropolitian ,19,14.153,False,middle_month,1,15.0
20.0,4.1,conditions Cloudy,Jam ,1,Meal ,scooter ,1.0,No ,Urban ,31,9.16,False,middle_month,1,15.0
39.0,4.1,conditions Sandstorms,Medium ,2,Snack ,motorcycle ,2.0,No ,Metropolitian ,39,12.696,False,start_month,2,5.0
28.0,4.6,conditions Fog,Jam ,2,Meal ,electric_scooter ,0.0,No ,Metropolitian ,29,5.724,False,end_month,1,10.0
29.0,4.5,conditions Stormy,Jam ,2,Buffet ,scooter ,1.0,No ,Metropolitian ,15,958.539,False,middle_month,1,10.0
35.0,4.6,conditions Sunny,Medium ,1,Snack ,scooter ,1.0,No ,Urban ,29,12.587,False,start_month,2,5.0
21.0,4.8,conditions Windy,Medium ,1,Meal ,scooter ,0.0,No ,Metropolitian ,20,6.694,False,start_month,1,10.0
22.0,4.7,conditions Stormy,Low ,2,Drinks ,motorcycle ,1.0,No ,Urban ,17,2.289,False,middle_month,1,5.0
32.0,4.1,conditions Cloudy,Low ,1,Buffet ,motorcycle ,0.0,No ,Metropolitian ,33,9.274,False,middle_month,1,5.0
28.0,4.5,conditions Sunny,Jam ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,24,11.008,False,start_month,1,5.0
39.0,3.5,conditions Stormy,Jam ,1,Meal ,scooter ,0.0,No ,Metropolitian ,40,9.275,False,end_month,1,5.0
29.585221590422037,4.7,conditions Windy,Low ,1,Meal ,motorcycle ,0.0,No ,Metropolitian ,16,20.443,False,start_month,1,10.0
37.0,4.1,conditions Cloudy,High ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,33,4.559,False,start_month,2,5.0
29.0,4.7,conditions Fog,Jam ,2,Buffet ,scooter ,1.0,No ,Metropolitian ,34,7.863,False,start_month,1,10.0
24.0,4.8,conditions Stormy,Jam ,2,Buffet ,electric_scooter ,1.0,No ,Metropolitian ,27,12.613,False,middle_month,1,15.0
34.0,4.9,conditions Stormy,Low ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,29,15.896,False,middle_month,1,15.0
21.0,4.6,conditions Windy,Medium ,1,Buffet ,scooter ,0.0,No ,Metropolitian ,24,8.924,False,start_month,1,10.0
22.0,4.9,conditions Windy,Low ,2,Meal ,scooter ,0.0,No ,Urban ,11,10.387,False,end_month,1,5.0
37.0,4.8,conditions Sunny,Low ,1,Meal ,scooter ,0.0,No ,Urban ,19,1.159,True,start_month,2,5.0
23.0,4.8,conditions Cloudy,Low ,1,Meal ,motorcycle ,0.0,No ,Metropolitian ,12,2.29,False,end_month,1,5.0
33.0,4.6,conditions Fog,Medium ,2,Meal ,scooter ,0.0,No ,Metropolitian ,19,3.463,False,end_month,1,15.0
28.0,4.8,conditions Cloudy,Medium ,1,Buffet ,scooter ,1.0,No ,Urban ,25,12.75,False,end_month,1,5.0
29.585221590422037,4.7,conditions Cloudy,High ,1,Snack ,motorcycle ,1.0,No ,Metropolitian ,21,2.255,True,start_month,2,10.0
31.0,4.2,conditions Fog,Jam ,2,Buffet ,scooter ,0.0,No ,Metropolitian ,48,10.417,False,start_month,1,5.0
31.0,4.7,conditions Fog,Jam ,2,Snack ,electric_scooter ,1.0,Yes ,Metropolitian ,43,10.432,False,end_month,1,15.0
35.0,4.9,conditions Sunny,Jam ,0,Snack ,motorcycle ,0.0,No ,Metropolitian ,23,6.954,False,middle_month,1,5.0
23.0,4.6,conditions Fog,Low ,2,Drinks ,scooter ,1.0,No ,Urban ,28,10.432,False,middle_month,1,5.0
28.0,4.5,conditions Sunny,Jam ,2,Drinks ,scooter ,0.0,No ,Metropolitian ,12,5.685,True,middle_month,1,15.0
26.0,4.8,conditions Stormy,Low ,2,Snack ,scooter ,1.0,No ,Metropolitian ,16,3.435,False,middle_month,1,15.0
27.0,4.9,conditions Stormy,Medium ,0,Drinks ,motorcycle ,0.0,No ,Metropolitian ,19,6.837,False,start_month,1,10.0
28.0,4.7,conditions Sunny,Medium ,1,Meal ,motorcycle ,0.0,No ,Metropolitian ,13,9.129,True,middle_month,1,10.0
36.0,4.4,conditions Stormy,High ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,31,4.637,True,middle_month,1,15.0
23.0,4.8,conditions Cloudy,High ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,22,4.637,False,start_month,2,10.0
28.0,4.9,conditions Fog,Low ,1,Meal ,scooter ,1.0,No,Metropolitian ,14,6.956,False,end_month,1,10.0
23.0,4.7,conditions Sandstorms,Low ,0,Snack ,motorcycle ,1.0,No ,Metropolitian ,24,16.025,True,start_month,1,10.0
27.0,4.7,conditions Windy,Jam ,1,Drinks ,motorcycle ,0.0,No ,Metropolitian ,27,5.639,False,end_month,1,15.0
30.0,4.5,conditions Cloudy,Low ,2,Drinks ,motorcycle ,1.0,No ,Metropolitian ,15,9.435,False,middle_month,1,5.0
35.0,4.8,conditions Windy,Jam ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,45,12.58,True,middle_month,1,15.0
34.0,4.3,conditions Stormy,Medium ,1,Buffet ,scooter ,1.0,No ,Urban ,36,9.096,False,start_month,1,5.0
34.0,4.7,conditions Sandstorms,Low ,2,Buffet ,electric_scooter ,0.0,No ,Urban ,22,12.271,False,end_month,1,15.0
36.0,4.6,conditions Sunny,High ,2,Buffet ,scooter ,1.0,No ,Metropolitian ,23,4.579,True,start_month,1,15.0
38.0,4.8,conditions Sandstorms,Low ,2,Meal ,scooter ,0.0,No ,Metropolitian ,22,1.138,True,middle_month,1,15.0
39.0,4.8,conditions Cloudy,Low ,1,Snack ,scooter ,1.0,No ,Metropolitian ,26,7.965,False,middle_month,1,5.0
24.0,4.9,conditions Fog,Jam ,0,Drinks ,motorcycle ,0.0,No ,Metropolitian ,42,10.298,False,start_month,2,10.0
26.0,4.6,conditions Windy,Jam ,0,Drinks ,motorcycle ,0.0,No ,Metropolitian ,16,5.787,False,end_month,1,10.0
36.0,4.8,conditions Stormy,Low ,0,Meal ,motorcycle ,1.0,No ,Metropolitian ,25,12.271,False,middle_month,1,15.0
22.0,4.8,conditions Windy,Medium ,2,Snack ,motorcycle ,0.0,No ,Metropolitian ,27,4.543,False,middle_month,1,10.0
27.0,4.7,conditions Sandstorms,Jam ,1,Meal ,scooter ,1.0,No ,Metropolitian ,15,5.578,False,start_month,1,5.0
20.0,4.7,conditions Sandstorms,Low ,2,Drinks ,scooter ,0.0,No ,Metropolitian ,19,2.28,True,end_month,1,10.0
21.0,4.7,conditions Windy,High ,1,Meal ,motorcycle ,0.0,No ,Metropolitian ,19,4.462,False,end_month,1,15.0
37.0,4.8,conditions Sunny,Low ,2,Drinks ,scooter ,0.0,No ,Metropolitian ,18,2.246,False,middle_month,1,10.0
21.0,5.0,conditions Sunny,Low ,2,Snack ,scooter ,1.0,No ,Urban ,15,2.268,False,end_month,1,15.0
34.0,4.7,conditions Windy,Jam ,0,Buffet ,motorcycle ,2.0,No ,Metropolitian ,37,8.114,False,end_month,1,10.0
32.0,4.4,conditions Stormy,High ,0,Drinks ,motorcycle ,0.0,No ,Metropolitian ,46,4.548,False,start_month,2,5.0
24.0,4.8,conditions Fog,Medium ,1,Buffet ,scooter ,1.0,No ,Metropolitian ,29,10.207,True,middle_month,1,5.0
36.0,4.7,conditions Sunny,High ,1,Drinks ,motorcycle ,1.0,No ,Metropolitian ,20,6.29,False,middle_month,1,10.0
22.0,4.6,conditions Sunny,Medium ,2,Meal ,motorcycle ,1.0,No ,Metropolitian ,19,15.001,False,start_month,2,5.0
39.0,4.9,conditions Stormy,Jam ,1,Drinks ,motorcycle ,1.0,No ,Metropolitian ,25,8.01,True,middle_month,1,5.0
29.0,4.4,conditions Windy,Jam ,0,Buffet ,motorcycle ,0.0,No ,Metropolitian ,32,9.274,False,middle_month,1,15.0
24.0,4.9,conditions Stormy,Jam ,2,Drinks ,electric_scooter ,0.0,No ,Metropolitian ,25,14.461,False,middle_month,1,10.0
34.0,4.4,conditions Fog,Jam ,1,Meal ,motorcycle ,0.0,No ,Metropolitian ,36,3.347,False,start_month,1,10.0
26.0,4.7,conditions Windy,Low ,2,Meal ,scooter ,0.0,No ,Urban ,12,2.308,True,start_month,2,10.0
26.0,4.9,conditions Cloudy,Jam ,0,Drinks ,motorcycle ,1.0,No ,Metropolitian ,26,6.866,False,start_month,2,5.0
37.0,4.8,conditions Cloudy,Jam ,0,Drinks ,motorcycle ,0.0,No ,Urban ,41,14.153,False,middle_month,1,5.0
32.0,4.8,conditions Stormy,Low ,1,Drinks ,motorcycle ,1.0,No ,Metropolitian ,20,10.233,False,end_month,1,15.0
35.0,3.6,conditions Sunny,Jam ,1,Buffet ,motorcycle ,0.0,No ,Urban ,31,10.04,False,middle_month,1,5.0
34.0,4.7,conditions Sunny,Low ,0,Snack ,motorcycle ,0.0,No ,Metropolitian ,27,9.236,True,middle_month,1,5.0
37.0,4.4,conditions Cloudy,Low ,2,Buffet ,electric_scooter ,1.0,No ,Metropolitian ,32,17.298,False,middle_month,1,15.0
39.0,4.4,conditions Sunny,Jam ,0,Buffet ,motorcycle ,1.0,No ,Metropolitian ,31,12.551,False,middle_month,1,15.0
38.0,4.6,conditions Fog,Medium ,0,Buffet ,motorcycle ,0.0,No ,Metropolitian ,29,5.705,False,start_month,2,5.0
20.0,4.9,conditions Sunny,Medium ,1,Drinks ,motorcycle ,0.0,No ,Metropolitian ,11,4.559,False,start_month,1,15.0
37.0,4.3,conditions Sandstorms,Low ,0,Snack ,motorcycle ,1.0,No ,Metropolitian ,34,3.412,False,start_month,2,5.0
36.0,4.6,conditions Cloudy,Jam ,1,Buffet ,scooter ,0.0,No ,Metropolitian ,25,5.686,False,end_month,1,15.0
22.0,4.5,conditions Windy,Jam ,2,Drinks ,scooter ,0.0,No ,Metropolitian ,27,3.402,True,middle_month,1,15.0
36.0,3.7,conditions Sandstorms,Jam ,1,Meal ,scooter ,1.0,No ,Metropolitian ,42,10.04,False,start_month,2,10.0
21.0,4.8,conditions Stormy,Low ,2,Snack ,motorcycle ,0.0,No ,Metropolitian ,10,2.255,False,start_month,1,5.0
37.0,4.7,conditions Sandstorms,Low ,2,Snack ,scooter ,0.0,No ,Metropolitian ,20,3.383,False,start_month,1,10.0
38.0,4.1,conditions Windy,Medium ,2,Buffet ,scooter ,1.0,No ,Metropolitian ,39,8.08,False,start_month,2,15.0
26.0,4.8,conditions Sunny,Jam ,2,Buffet ,scooter ,0.0,No,Metropolitian ,11,12.752,False,start_month,2,15.0
